Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,
2008,22,TBR,AL,0,0,,1.93,5,1,0,0,0,0,14,9,4,3,1,4,0,12,1,0,0,57,234,3.42,0.929,5.8,0.6,2.6,7.7,3,,
2009,23,TBR,AL,10,7,0.588,4.42,23,23,0,0,0,0,128.1,119,72,63,17,54,0,102,4,0,2,557,98,4.59,1.348,8.3,1.2,3.8,7.2,1.89,,
2010,24,TBR,AL,19,6,0.76,2.72,32,31,0,2,1,0,208.2,170,71,63,15,79,1,188,5,3,5,861,144,3.42,1.193,7.3,0.6,3.4,8.1,2.38,"AS,CYA-2",
2011,25,TBR,AL,12,13,0.48,3.49,34,34,0,0,0,0,224.1,192,93,87,22,63,5,218,9,0,2,918,108,3.32,1.137,7.7,0.9,2.5,8.7,3.46,AS,
2012,26,TBR,AL,20,5,0.8,2.56,31,31,0,2,1,0,211,173,63,60,16,59,2,205,5,1,8,836,150,3.05,1.1,7.4,0.7,2.5,8.7,3.47,"AS,CYA-1,MVP-12",
2013,27,TBR,AL,10,8,0.556,3.33,27,27,0,4,0,0,186.2,178,78,69,16,27,0,151,3,0,6,740,115,3.03,1.098,8.6,0.8,1.3,7.3,5.59,,
2014,28,TOT,AL,15,12,0.556,3.26,34,34,0,3,0,0,248.1,230,100,90,25,38,1,271,5,0,2,1009,115,2.78,1.079,8.3,0.9,1.4,9.8,7.13,"AS,CYA-6",
2014,28,TBR,AL,11,8,0.579,3.11,23,23,0,2,0,0,170.2,156,68,59,20,23,1,189,5,0,2,689,119,2.93,1.049,8.2,1.1,1.2,10,8.22,,
2014,28,DET,AL,4,4,0.5,3.59,11,11,0,1,0,0,77.2,74,32,31,5,15,0,82,0,0,0,320,108,2.44,1.146,8.6,0.6,1.7,9.5,5.47,,
2015,29,TOT,AL,18,5,0.783,2.45,32,32,0,3,1,0,220.1,190,70,60,17,47,2,225,3,0,4,888,164,2.78,1.076,7.8,0.7,1.9,9.2,4.79,"AS,CYA-2,MVP-9",
2015,29,DET,AL,9,4,0.692,2.53,21,21,0,3,1,0,146,133,50,41,13,29,2,138,3,0,3,592,158,3.06,1.11,8.2,0.8,1.8,8.5,4.76,,
2015,29,TOR,AL,9,1,0.9,2.3,11,11,0,0,0,0,74.1,57,20,19,4,18,0,87,0,0,1,296,179,2.22,1.009,6.9,0.5,2.2,10.5,4.83,,
2016,30,BOS,AL,17,9,0.654,3.99,35,35,0,2,0,0,230,227,106,102,30,50,1,228,7,0,4,951,112,3.6,1.204,8.9,1.2,2,8.9,4.56,,
2017,31,BOS,AL,6,3,0.667,3.38,16,11,1,0,0,0,74.2,65,30,28,8,24,0,76,4,0,2,317,135,3.64,1.192,7.8,1,2.9,9.2,3.17,,
2018,32,BOS,AL,16,7,0.696,3.58,30,30,0,1,0,0,176,151,75,70,25,50,0,177,10,0,1,722,123,4.02,1.142,7.7,1.3,2.6,9.1,3.54,,
2019,33,BOS,AL,7,5,0.583,4.28,22,22,0,0,0,0,107.1,109,57,51,15,32,0,128,3,1,3,458,114,3.62,1.314,9.1,1.3,2.7,10.7,4,,
2020,,,Did not play in major or minor leagues (Opted Out During COVID-19 Pandemic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,35,LAD,NL,5,2,0.714,4.03,39,11,5,0,0,1,73.2,79,35,33,8,26,2,58,4,0,1,326,105,4.23,1.425,9.7,1,3.2,7.1,2.23,,
2022,36,LAD,NL,0,0,,3.38,18,0,6,0,0,0,18.2,21,7,7,3,4,2,23,0,0,0,80,127,3.4,1.339,10.1,1.4,1.9,11.1,5.75,,
14 Yrs,,,,155,82,0.654,3.33,378,322,12,17,3,1,2122,1913,861,786,218,557,16,2062,63,5,40,8720,123,3.38,1.164,8.1,0.9,2.4,8.7,3.7,,
162 Game Avg.,,,,15,8,0.654,3.33,37,31,1,2,0,0,206,186,84,76,21,54,2,200,6,0,4,847,123,3.38,1.164,8.1,0.9,2.4,8.7,3.7,,
TBR (7 yrs),,,,82,47,0.636,3.18,175,170,0,10,2,0,1143.2,997,449,404,107,309,9,1065,32,4,25,4658,122,3.33,1.142,7.8,0.8,2.4,8.4,3.45,,
BOS (4 yrs),,,,46,24,0.657,3.84,103,98,1,3,0,0,588,552,268,251,78,156,1,609,24,1,10,2448,118,3.74,1.204,8.4,1.2,2.4,9.3,3.9,,
LAD (2 yrs),,,,5,2,0.714,3.9,57,11,11,0,0,1,92.1,100,42,40,11,30,4,81,4,0,1,406,109,4.06,1.408,9.7,1.1,2.9,7.9,2.7,,
DET (2 yrs),,,,13,8,0.619,2.9,32,32,0,4,1,0,223.2,207,82,72,18,44,2,220,3,0,3,912,136,2.84,1.122,8.3,0.7,1.8,8.9,5,,
TOR (1 yr),,,,9,1,0.9,2.3,11,11,0,0,0,0,74.1,57,20,19,4,18,0,87,0,0,1,296,179,2.22,1.009,6.9,0.5,2.2,10.5,4.83,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,