Year,Age,Tm,Lg,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Awards
2007,23,KCR,AL,12.2,4,1,4,2.84,5.16,0.27,-0.25,102,4.73,3,0.3,0.17,-0.1,0.3,4,0.567,0.502,"$575,000 ",
2008,24,KCR,AL,129,22,22,84,5.86,4.77,-0.47,0.18,100.3,5.44,-8,-0.8,,-0.1,0.4,8,0.463,0.495,"$1,200,000 ",
2009,25,KCR,AL,143,25,25,109,6.86,4.82,-0.68,0.19,99,5.64,-20,-1.9,,-0.1,-0.5,-4,0.425,0.488,"$1,325,000 ",
2010,26,KCR,AL,103,18,17,61,5.33,4.61,-0.63,0.15,99.9,5.39,0,0,0.09,-0.1,1,11,0.5,0.5,"$1,760,000 ",
2011,27,KCR,AL,198,31,31,110,5,4.45,0.05,0.16,100.8,4.59,-10,-1,,-0.1,0.9,11,0.468,0.494,"$1,760,000 ",
2012,28,KCR,AL,185.1,32,32,127,6.17,4.5,0,0.17,101.6,4.75,-29,-2.8,,-0.1,-1.1,-10,0.411,0.482,"$3,510,000 ",
2013,29,KCR,AL,70.1,58,0,15,1.92,4.35,0.31,-0.32,103.3,3.84,14,1.5,1.05,-0.1,2.1,22,0.526,0.509,"$4,560,000 ",
,,,,,,,,,,,,,,,,,,,,,,,
2015,31,KCR,AL,50.2,49,0,23,4.09,4.38,0.14,-0.32,104.1,4.08,-1,-0.1,1.01,-0.1,0.3,5,0.498,0.499,"$4,000,000 ",
2016,32,KCR,AL,37.1,40,0,17,4.1,4.62,0.09,-0.33,100.7,4.23,1,0.1,1.41,-0.1,0.4,4,0.502,0.5,"$5,500,000 ",
9 Seasons,,,,929.1,279,128,550,5.33,4.59,-0.19,0.08,100.9,4.89,-51,-4.8,1.11,-0.9,3.8,51,0.483,0.498,"$24,190,000 ",
162 Game Avg.,,,,155,47,21,92,5.33,4.59,-0.19,0.08,100.9,4.89,-9,-0.8,1.11,-0.2,0.6,9,0.483,0.498,,