,Year,RdPck,franchise_id,Name
0,2000,10,ANA,Joe Torres
1,2000,20,ANA,Chris Bootcheck
2,2000,27,HOU,Rob Stiehl
3,2000,18,TOR,Miguel Negron
4,2000,33,TOR,Dustin McGowan
5,2000,30,ATL,Scott Thorman
6,2000,38,ATL,Kelly Johnson
7,2000,40,ATL,Aaron Herr
8,2000,29,ATL,Adam Wainwright
9,2000,11,MIL,Dave Krynzel
10,2000,13,STL,Shaun Boyd
11,2000,24,STL,Blake Williams
12,2000,3,CHC,Luis Montanez
13,2000,6,TBD,Rocco Baldelli
14,2000,17,LAD,Ben Diggins
15,2000,5,NAT,Justin Wayne
16,2000,21,SFG,Boof Bonser
17,2000,26,CLE,Corey Smith
18,2000,37,CLE,Derek Thompson
19,2000,1,FLA,Adrian Gonzalez
20,2000,36,NYM,Bobby Keppel
21,2000,16,NYM,Billy Traber
22,2000,14,BAL,Beau Hale
23,2000,32,BAL,Tripper Johnson
24,2000,9,SDP,Mark Phillips
25,2000,15,PHI,Chase Utley
26,2000,19,PIT,Sean Burnett
27,2000,35,TEX,Tyrell Godwin
28,2000,39,TEX,Chad Hawkins
29,2000,25,TEX,Scott Heard
30,2000,22,BOS,Phil Dumatrait
31,2000,23,CIN,David Espinosa
32,2000,34,CIN,Dustin Moseley
33,2000,7,COL,Matt Harrington
34,2000,4,KCR,Mike Stodolka
35,2000,8,DET,Matt Wheatland
36,2000,2,MIN,Adam Johnson
37,2000,31,MIN,Aaron Heilman
38,2000,12,CHW,Joe Borchard
39,2000,28,NYY,Dave Parrish
40,2001,13,ANA,Casey Kotchman
41,2001,33,ANA,Jeff Mathis
42,2001,10,HOU,Chris Burke
43,2001,25,OAK,Bobby Crosby
44,2001,37,OAK,John Rheinecker
45,2001,26,OAK,Jeremy Bonderman
46,2001,15,TOR,Gabe Gross
47,2001,29,ATL,Josh Burrus
48,2001,40,ATL,Richard Lewis
49,2001,24,ATL,Macay McBride
50,2001,12,MIL,Mike Jones
51,2001,28,STL,Justin Pope
52,2001,2,CHC,Mark Prior
53,2001,3,TBD,Dewon Brazelton
54,2001,22,ARI,Jason Bulger
55,2001,6,NAT,Josh Karp
56,2001,30,SFG,Noah Lowry
57,2001,41,SFG,Todd Linden
58,2001,21,SFG,Brad Hennessey
59,2001,35,CLE,J.D. Martin
60,2001,43,CLE,Mike Conroy
61,2001,17,CLE,Dan Denham
62,2001,27,CLE,Alan Horne
63,2001,36,SEA,Michael Garciaparra
64,2001,38,NYM,David Wright
65,2001,18,NYM,Aaron Heilman
66,2001,7,BAL,Chris Smith
67,2001,31,BAL,Bryan Bass
68,2001,19,BAL,Mike Fontenot
69,2001,14,SDP,Jake Gautreau
70,2001,4,PHI,Gavin Floyd
71,2001,8,PIT,John Van Benschoten
72,2001,5,TEX,Mark Teixeira
73,2001,20,CIN,Jeremy Sowers
74,2001,44,COL,Jayson Nix
75,2001,9,KCR,Colt Griffin
76,2001,11,DET,Kenny Baugh
77,2001,32,DET,Michael Woods
78,2001,1,MIN,Joe Mauer
79,2001,39,CHW,Wyatt Allen
80,2001,16,CHW,Kris Honel
81,2001,34,NYY,Bronson Sardinha
82,2001,42,NYY,Jon Skaggs
83,2001,23,NYY,John-Ford Griffin
84,2002,12,ANA,Joe Saunders
85,2002,29,HOU,Derick Grigsby
86,2002,26,OAK,John McCurdy
87,2002,35,OAK,Jeremy Brown
88,2002,37,OAK,Steve Obenchain
89,2002,39,OAK,Mark Teahen
90,2002,30,OAK,Ben Fritz
91,2002,16,OAK,Nick Swisher
92,2002,24,OAK,Joe Blanton
93,2002,14,TOR,Russ Adams
94,2002,23,ATL,Jeff Francoeur
95,2002,34,ATL,Dan Meyer
96,2002,7,MIL,Prince Fielder
97,2002,21,CHC,Bobby Brownlie
98,2002,32,CHC,Luke Hagerty
99,2002,36,CHC,Chadd Blasko
100,2002,38,CHC,Matt Clanton
101,2002,2,TBD,B.J. Upton
102,2002,27,ARI,Sergio Santos
103,2002,19,LAD,James Loney
104,2002,31,LAD,Greg Miller
105,2002,5,NAT,Clint Everts
106,2002,25,SFG,Matt Cain
107,2002,22,CLE,Jeremy Guthrie
108,2002,33,CLE,Matt Whitney
109,2002,41,CLE,Micah Schilling
110,2002,28,SEA,John Mayberry
111,2002,11,FLA,Jeremy Hermida
112,2002,15,NYM,Scott Kazmir
113,2002,4,BAL,Adam Loewen
114,2002,13,SDP,Khalil Greene
115,2002,17,PHI,Cole Hamels
116,2002,1,PIT,Bryan Bullington
117,2002,10,TEX,Drew Meyer
118,2002,3,CIN,Chris Gruler
119,2002,40,CIN,Mark Schramek
120,2002,9,COL,Jeff Francis
121,2002,6,KCR,Zack Greinke
122,2002,8,DET,Scott Moore
123,2002,20,MIN,Denard Span
124,2002,18,CHW,Royce Ring
125,2003,23,ANA,Brandon Wood
126,2003,25,OAK,Brad Sullivan
127,2003,33,OAK,Omar Quintanilla
128,2003,26,OAK,Brian Snyder
129,2003,13,TOR,Aaron Hill
130,2003,35,ATL,Luis Atilano
131,2003,36,ATL,Jarrod Saltalamacchia
132,2003,2,MIL,Rickie Weeks
133,2003,28,STL,Daric Barton
134,2003,6,CHC,Ryan Harvey
135,2003,1,TBD,Delmon Young
136,2003,29,ARI,Carlos Quentin
137,2003,19,ARI,Conor Jackson
138,2003,24,LAD,Chad Billingsley
139,2003,20,NAT,Chad Cordero
140,2003,34,SFG,Craig Whitaker
141,2003,22,SFG,David Aardsma
142,2003,11,CLE,Michael Aubrey
143,2003,31,CLE,Adam Miller
144,2003,18,CLE,Brad Snyder
145,2003,37,SEA,Adam Jones
146,2003,16,FLA,Jeff Allison
147,2003,12,NYM,Lastings Milledge
148,2003,7,BAL,Nick Markakis
149,2003,4,SDP,Tim Stauffer
150,2003,8,PIT,Paul Maholm
151,2003,9,TEX,John Danks
152,2003,17,BOS,David Murphy
153,2003,32,BOS,Matt Murton
154,2003,14,CIN,Ryan Wagner
155,2003,10,COL,Ian Stewart
156,2003,5,KCR,Chris Lubanski
157,2003,30,KCR,Mitch Maier
158,2003,3,DET,Kyle Sleeth
159,2003,21,MIN,Matt Moses
160,2003,15,CHW,Brian Anderson
161,2003,27,NYY,Eric Duncan
162,2004,12,ANA,Jered Weaver
163,2004,26,OAK,Richie Robnett
164,2004,36,OAK,Danny Putnam
165,2004,40,OAK,Huston Street
166,2004,24,OAK,Landon Powell
167,2004,16,TOR,David Purcey
168,2004,32,TOR,Zach Jackson
169,2004,5,MIL,Mark Rogers
170,2004,19,STL,Chris Lambert
171,2004,4,TBD,Jeff Niemann
172,2004,15,ARI,Stephen Drew
173,2004,17,LAD,Scott Elbert
174,2004,33,LAD,Justin Orenduff
175,2004,28,LAD,Blake DeWitt
176,2004,13,NAT,Bill Bray
177,2004,6,CLE,Jeremy Sowers
178,2004,27,FLA,Taylor Tankersley
179,2004,3,NYM,Philip Humber
180,2004,8,BAL,Wade Townsend
181,2004,1,SDP,Matt Bush
182,2004,21,PHI,Greg Golson
183,2004,11,PIT,Neil Walker
184,2004,10,TEX,Thomas Diamond
185,2004,30,TEX,Eric Hurley
186,2004,7,CIN,Homer Bailey
187,2004,9,COL,Chris Nelson
188,2004,14,KCR,Billy Butler
189,2004,31,KCR,J.P. Howell
190,2004,29,KCR,Matt Campbell
191,2004,2,DET,Justin Verlander
192,2004,20,MIN,Trevor Plouffe
193,2004,35,MIN,Matt Fox
194,2004,39,MIN,Jay Rainville
195,2004,25,MIN,Kyle Waldrop
196,2004,22,MIN,Glen Perkins
197,2004,18,CHW,Josh Fields
198,2004,34,CHW,Tyler Lumsden
199,2004,38,CHW,Gio Gonzalez
200,2004,37,NYY,Jon Poterson
201,2004,41,NYY,Jeff Marquez
202,2004,23,NYY,Phil Hughes
203,2005,37,ANA,Trevor Bell
204,2005,24,HOU,Brian Bogusevic
205,2005,38,HOU,Eli Iorg
206,2005,21,OAK,Cliff Pennington
207,2005,36,OAK,Travis Buck
208,2005,6,TOR,Ricky Romero
209,2005,27,ATL,Joey Devine
210,2005,41,ATL,Beau Jones
211,2005,5,MIL,Ryan Braun
212,2005,30,STL,Tyler Greene
213,2005,43,STL,Mark McCormick
214,2005,46,STL,Tyler Herron
215,2005,28,STL,Colby Rasmus
216,2005,20,CHC,Mark Pawelek
217,2005,8,TBD,Wade Townsend
218,2005,1,ARI,Justin Upton
219,2005,31,ARI,Matt Torra
220,2005,40,LAD,Luke Hochevar
221,2005,14,CLE,Trevor Crowe
222,2005,33,CLE,Johnny Drennen
223,2005,3,SEA,Jeff Clement
224,2005,16,FLA,Chris Volstad
225,2005,34,FLA,Ryan Tucker
226,2005,44,FLA,Sean West
227,2005,22,FLA,Aaron Thompson
228,2005,29,FLA,Jacob Marceaux
229,2005,9,NYM,Mike Pelfrey
230,2005,4,WSN,Ryan Zimmerman
231,2005,13,BAL,Brandon Snyder
232,2005,48,BAL,Garrett Olson
233,2005,18,SDP,Cesar Carrillo
234,2005,35,SDP,Cesar Ramos
235,2005,11,PIT,Andrew McCutchen
236,2005,19,TEX,John Mayberry
237,2005,42,BOS,Clay Buchholz
238,2005,45,BOS,Jed Lowrie
239,2005,47,BOS,Michael Bowden
240,2005,23,BOS,Jacoby Ellsbury
241,2005,26,BOS,Craig Hansen
242,2005,12,CIN,Jay Bruce
243,2005,7,COL,Troy Tulowitzki
244,2005,32,COL,Chaz Roe
245,2005,2,KCR,Alex Gordon
246,2005,10,DET,Cameron Maybin
247,2005,25,MIN,Matt Garza
248,2005,39,MIN,Hank Sanchez
249,2005,15,CHW,Lance Broadway
250,2005,17,NYY,C.J. Henry
251,2006,25,ANA,Hank Conger
252,2006,23,HOU,Maxwell Sapp
253,2006,14,TOR,Travis Snider
254,2006,24,ATL,Cody Johnson
255,2006,38,ATL,Cory Rasmus
256,2006,43,ATL,Steve Evarts
257,2006,16,MIL,Jeremy Jeffress
258,2006,30,STL,Adam Ottavino
259,2006,42,STL,Chris Perez
260,2006,13,CHC,Tyler Colvin
261,2006,3,TBD,Evan Longoria
262,2006,11,ARI,Max Scherzer
263,2006,34,ARI,Brooks Brown
264,2006,7,LAD,Clayton Kershaw
265,2006,31,LAD,Preston Mattingly
266,2006,26,LAD,Bryan Morris
267,2006,10,SFG,Tim Lincecum
268,2006,33,SFG,Emmanuel Burriss
269,2006,39,CLE,David Huff
270,2006,5,SEA,Brandon Morrow
271,2006,19,FLA,Brett Sinkbeil
272,2006,36,FLA,Chris Coghlan
273,2006,15,WSN,Chris Marrero
274,2006,22,WSN,Colton Willems
275,2006,9,BAL,Billy Rowell
276,2006,32,BAL,Pedro Beato
277,2006,17,SDP,Matt Antonelli
278,2006,35,SDP,Kyler Burke
279,2006,37,PHI,Adrian Cardenas
280,2006,18,PHI,Kyle Drabek
281,2006,4,PIT,Brad Lincoln
282,2006,12,TEX,Kasey Kiker
283,2006,27,BOS,Jason Place
284,2006,40,BOS,Kris Johnson
285,2006,44,BOS,Caleb Clay
286,2006,28,BOS,Daniel Bard
287,2006,8,CIN,Drew Stubbs
288,2006,2,COL,Greg Reynolds
289,2006,1,KCR,Luke Hochevar
290,2006,6,DET,Andrew Miller
291,2006,20,MIN,Chris Parmelee
292,2006,29,CHW,Kyle McCulloch
293,2006,41,NYY,Joba Chamberlain
294,2006,21,NYY,Ian Kennedy
295,2007,58,ANA,Jon Bachanov
296,2007,26,OAK,James Simmons
297,2007,41,OAK,Sean Doolittle
298,2007,59,OAK,Corey Brown
299,2007,21,TOR,J.P. Arencibia
300,2007,38,TOR,Brett Cecil
301,2007,45,TOR,Justin Jackson
302,2007,56,TOR,Trystan Magnuson
303,2007,16,TOR,Kevin Ahrens
304,2007,14,ATL,Jason Heyward
305,2007,33,ATL,Jon Gilmore
306,2007,7,MIL,Matt LaPorta
307,2007,18,STL,Pete Kozma
308,2007,36,STL,Clayton Mortensen
309,2007,3,CHC,Josh Vitters
310,2007,48,CHC,Josh Donaldson
311,2007,1,TBD,David Price
312,2007,9,ARI,Jarrod Parker
313,2007,50,ARI,Wes Roemer
314,2007,61,ARI,Ed Easley
315,2007,39,LAD,James Adkins
316,2007,20,LAD,Chris Withrow
317,2007,10,SFG,Madison Bumgarner
318,2007,32,SFG,Nick Noonan
319,2007,43,SFG,Jackson Williams
320,2007,51,SFG,Charlie Culberson
321,2007,22,SFG,Tim Alderson
322,2007,29,SFG,Wendell Fairley
323,2007,13,CLE,Beau Mills
324,2007,11,SEA,Phillippe Aumont
325,2007,52,SEA,Matt Mangini
326,2007,12,FLA,Matt Dominguez
327,2007,42,NYM,Eddie Kunz
328,2007,47,NYM,Nathan Vineyard
329,2007,6,WSN,Ross Detwiler
330,2007,31,WSN,Josh Smoker
331,2007,49,WSN,Michael Burgess
332,2007,5,BAL,Matt Wieters
333,2007,23,SDP,Nick Schmidt
334,2007,40,SDP,Kellen Kulbacki
335,2007,46,SDP,Drew Cumberland
336,2007,57,SDP,Mitch Canham
337,2007,63,SDP,Cory Luebke
338,2007,64,SDP,Danny Payne
339,2007,19,PHI,Joe Savery
340,2007,37,PHI,Travis d'Arnaud
341,2007,4,PIT,Daniel Moskos
342,2007,35,TEX,Julio Borbon
343,2007,44,TEX,Neil Ramirez
344,2007,54,TEX,Tommy Hunter
345,2007,24,TEX,Michael Main
346,2007,17,TEX,Blake Beavan
347,2007,55,BOS,Nick Hagadone
348,2007,62,BOS,Ryan Dent
349,2007,15,CIN,Devin Mesoraco
350,2007,34,CIN,Todd Frazier
351,2007,53,CIN,Kyle Lotzkar
352,2007,8,COL,Casey Weathers
353,2007,2,KCR,Mike Moustakas
354,2007,27,DET,Rick Porcello
355,2007,60,DET,Brandon Hamilton
356,2007,28,MIN,Ben Revere
357,2007,25,CHW,Aaron Poreda
358,2007,30,NYY,Andrew Brackman
359,2008,10,HOU,Jason Castro
360,2008,38,HOU,Jordan Lyles
361,2008,12,OAK,Jemile Weeks
362,2008,17,TOR,David Cooper
363,2008,40,ATL,Brett DeVall
364,2008,16,MIL,Brett Lawrie
365,2008,32,MIL,Jake Odorizzi
366,2008,35,MIL,Evan Frederickson
367,2008,13,STL,Brett Wallace
368,2008,39,STL,Lance Lynn
369,2008,19,CHC,Andrew Cashner
370,2008,41,CHC,Ryan Flaherty
371,2008,26,ARI,Daniel Schlereth
372,2008,43,ARI,Wade Miley
373,2008,15,LAD,Ethan Martin
374,2008,5,SFG,Buster Posey
