Name,Year,OvPck,RdPck,Rnd,Tm,Pos,DT,FrRnd,Signed,Bonus,WAR,G,AB,HR,BA,OPS,Type,Drafted Out of
James Loney(minors),2002,19,19,1,Dodgers,1B,0.0,FrRnd,Y,"$1,500,000 ",11.3,1443.0,5023.0,108.0,0.284,0.746,HS,"Lawrence E Elkins HS (Missouri City, TX)"
Denard Span(minors),2002,20,20,1,Twins,OF,0.0,FrRnd,Y,"$1,700,000 ",27.9,1359.0,5326.0,71.0,0.281,0.745,HS,"Tampa Catholic HS (Tampa, FL)"
Jeff Francoeur(minors),2002,23,23,1,Braves,OF,0.0,FrRnd,Y,"$2,200,000 ",6.8,1480.0,5260.0,160.0,0.261,0.72,HS,"Parkview HS (Lilburn, GA)"
John McCurdy(minors),2002,26,26,1,Athletics,SS,0.0,FrRnd,Y,"$1,375,000 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of Maryland (College Park, MD)"
Sergio Santos(minors),2002,27,27,1,Diamondbacks,SS,0.0,FrRnd,Y,"$1,400,000 ",2.0,27.0,1.0,0.0,0.0,0.0,HS,"Mater Dei HS (Santa Ana, CA)"
John Mayberry(minors),2002,28,28,1,Mariners,OF,0.0,FrRnd,N,0,1.5,574.0,1386.0,56.0,0.235,0.72,HS,"Rockhurst HS (Kansas City, MO)"
*Matt Whitney(minors),2002,33,33,1s,Indians,3B,0.0,FrRnd,Y,"$1,125,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Palm Beach Gardens HS (Palm Beach Gardens, FL)"
*Jeremy Brown(minors),2002,35,35,1s,Athletics,C,0.0,FrRnd,Y,"$350,000 ",0.1,5.0,10.0,0.0,0.3,0.864,4Yr,"University of Alabama (Tuscaloosa, AL)"
*Mark Teahen(minors),2002,39,39,1s,Athletics,3B,0.0,FrRnd,Y,"$725,000 ",2.6,831.0,2873.0,67.0,0.264,0.736,4Yr,"Saint Mary's College of California (Moraga, CA)"
*Mark Schramek(minors),2002,40,40,1s,Reds,3B,0.0,FrRnd,Y,"$200,000 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of Texas at San Antonio (San Antonio, TX)"
*Micah Schilling(minors),2002,41,41,1s,Indians,2B,0.0,FrRnd,Y,"$915,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Silliman Institute (Clinton, LA)"
Delmon Young(minors),2003,1,1,1,Devil Rays,OF,0.0,FrRnd,Y,"$3,700,000 ",3.2,1118.0,4108.0,109.0,0.283,0.737,HS,"Adolfo Camarillo HS (Camarillo, CA)"
Rickie Weeks(minors),2003,2,2,1,Brewers,2B,0.0,FrRnd,Y,"$3,600,000 ",11.5,1324.0,4417.0,161.0,0.246,0.764,4Yr,"Southern University and A&M College (Baton Rouge, LA)"
Chris Lubanski(minors),2003,5,5,1,Royals,OF,0.0,FrRnd,Y,"$2,100,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Kennedy-Kenrick Catholic HS (Norristown, PA)"
Ryan Harvey(minors),2003,6,6,1,Cubs,OF,0.0,FrRnd,Y,"$2,400,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Dunedin HS (Dunedin, FL)"
Nick Markakis(minors),2003,7,7,1,Orioles,OF,0.0,FrRnd,Y,"$1,850,000 ",33.6,2154.0,8302.0,189.0,0.288,0.781,JC,"Young Harris College (Young Harris, GA)"
Ian Stewart(minors),2003,10,10,1,Rockies,3B,0.0,FrRnd,Y,"$1,950,000 ",3.3,511.0,1489.0,61.0,0.229,0.73,HS,"La Quinta HS (Westminster, CA)"
Michael Aubrey(minors),2003,11,11,1,Indians,1B,0.0,FrRnd,Y,"$2,010,000 ",0.2,46.0,135.0,6.0,0.259,0.755,4Yr,"Tulane University (New Orleans, LA)"
Lastings Milledge(minors),2003,12,12,1,Mets,OF,0.0,FrRnd,Y,"$2,075,000 ",0.5,433.0,1500.0,33.0,0.269,0.723,HS,"Lakewood Ranch HS (Bradenton, FL)"
Aaron Hill(minors),2003,13,13,1,Blue Jays,SS,0.0,FrRnd,Y,"$1,675,000 ",24.4,1559.0,5646.0,162.0,0.266,0.74,4Yr,"Louisiana State University (Baton Rouge, LA)"
Brian Anderson(minors),2003,15,15,1,White Sox,OF,0.0,FrRnd,Y,"$1,600,000 ",-0.2,355.0,799.0,22.0,0.227,0.661,4Yr,"University of Arizona (Tucson, AZ)"
David Murphy(minors),2003,17,17,1,Red Sox,OF,0.0,FrRnd,Y,"$1,525,000 ",9.9,1110.0,3467.0,104.0,0.274,0.765,4Yr,"Baylor University (Waco, TX)"
*Brad Snyder(minors),2003,18,18,1,Indians via Phillies,OF,0.0,FrRnd,Y,"$1,525,000 ",-0.1,30.0,66.0,2.0,0.167,0.513,4Yr,"Ball State University (Muncie, IN)"
*Conor Jackson(minors),2003,19,19,1,Diamondbacks via Mariners,1B,0.0,FrRnd,Y,"$1,500,000 ",2.2,658.0,2184.0,52.0,0.271,0.757,4Yr,"University of California, Berkeley (Berkeley, CA)"
Matt Moses(minors),2003,21,21,1,Twins,3B,0.0,FrRnd,Y,"$1,450,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Mills E. Godwin HS (Henrico, VA)"
Brandon Wood(minors),2003,23,23,1,Angels,SS,0.0,FrRnd,Y,"$1,300,000 ",-3.8,272.0,700.0,18.0,0.186,0.513,HS,"Horizon HS (Scottsdale, AZ)"
*Brian Snyder(minors),2003,26,26,1,Athletics via Giants,3B,0.0,FrRnd,Y,"$1,325,000 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Stetson University (DeLand, FL)"
Eric Duncan(minors),2003,27,27,1,Yankees,3B,0.0,FrRnd,Y,"$1,250,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Seton Hall Preparatory School (West Orange, NJ)"
Daric Barton(minors),2003,28,28,1,Cardinals,C,0.0,FrRnd,Y,"$975,000 ",8.9,551.0,1744.0,30.0,0.247,0.721,HS,"Marina HS (Huntington Beach, CA)"
Carlos Quentin(minors),2003,29,29,1,Diamondbacks,OF,0.0,FrRnd,Y,"$1,100,000 ",10.5,834.0,2790.0,154.0,0.252,0.831,4Yr,"Stanford University (Palo Alto, CA)"
*Mitch Maier(minors),2003,30,30,1,Royals via Braves,C,0.0,FrRnd,Y,"$900,000 ",1.5,359.0,977.0,10.0,0.248,0.671,4Yr,"University of Toledo (Toledo, OH)"
*Matt Murton(minors),2003,32,32,1s,Red Sox,OF,0.0,FrRnd,Y,"$1,010,000 ",3.3,346.0,952.0,29.0,0.286,0.788,4Yr,"Georgia Institute of Technology (Atlanta, GA)"
*Omar Quintanilla(minors),2003,33,33,1s,Athletics,SS,0.0,FrRnd,Y,"$992,500 ",-0.9,402.0,1035.0,8.0,0.22,0.582,4Yr,"University of Texas at Austin (Austin, TX)"
*Jarrod Saltalamacchia(minors),2003,36,36,1s,Braves,C,0.0,FrRnd,Y,"$950,000 ",5.9,895.0,2852.0,110.0,0.232,0.715,HS,"Royal Palm Beach HS (Royal Palm Beach, FL)"
*Adam Jones(minors),2003,37,37,1s,Mariners,SS,0.0,FrRnd,Y,"$925,000 ",32.6,1823.0,7009.0,282.0,0.277,0.771,HS,"Samuel F. B. Morse HS (San Diego, CA)"
Mike Moustakas(minors),2007,2,2,1,Royals,SS,0.0,FrRnd,Y,"$4,000,000 ",13.2,1291.0,4633.0,199.0,0.248,0.744,HS,"Chatsworth Charter HS (Chatsworth, CA)"
Josh Vitters(minors),2007,3,3,1,Cubs,3B,0.0,FrRnd,Y,"$3,200,000 ",-1.3,36.0,99.0,2.0,0.121,0.395,HS,"Cypress HS (Cypress, CA)"
Matt Wieters(minors),2007,5,5,1,Orioles,C,0.0,FrRnd,Y,"$6,000,000 ",18.3,1167.0,3994.0,146.0,0.249,0.722,4Yr,"Georgia Institute of Technology (Atlanta, GA)"
Matt LaPorta(minors),2007,7,7,1,Brewers,1B,0.0,FrRnd,Y,"$2,000,000 ",-1.0,291.0,967.0,31.0,0.238,0.695,4Yr,"University of Florida (Gainesville, FL)"
Matt Dominguez(minors),2007,12,12,1,Marlins,3B,0.0,FrRnd,Y,"$1,800,000 ",1.2,362.0,1272.0,42.0,0.231,0.644,HS,"Chatsworth Charter HS (Chatsworth, CA)"
Beau Mills(minors),2007,13,13,1,Indians,1B,0.0,FrRnd,Y,"$1,575,000 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Lewis-Clark State College (Lewiston, ID)"
Jason Heyward(minors),2007,14,14,1,Braves,OF,0.0,FrRnd,Y,"$1,700,000 ",38.6,1579.0,5527.0,159.0,0.257,0.746,HS,"Henry County HS (McDonough, GA)"
Devin Mesoraco(minors),2007,15,15,1,Reds,C,0.0,FrRnd,Y,"$1,400,000 ",4.7,468.0,1402.0,58.0,0.232,0.715,HS,"Punxsutawney HS (Punxsutawney, PA)"
*Kevin Ahrens(minors),2007,16,16,1,Blue Jays via Rangers,3B,0.0,FrRnd,Y,"$1,440,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Memorial HS (Houston, TX)"
Pete Kozma(minors),2007,18,18,1,Cardinals,SS,0.0,FrRnd,Y,"$1,395,000 ",-0.5,344.0,746.0,5.0,0.213,0.564,HS,"Owasso HS (Owasso, OK)"
J.P. Arencibia(minors),2007,21,21,1,Blue Jays,C,0.0,FrRnd,Y,"$1,372,500 ",1.9,466.0,1573.0,80.0,0.212,0.67,4Yr,"University of Tennessee (Knoxville, TN)"
Ben Revere(minors),2007,28,28,1,Twins,OF,0.0,FrRnd,Y,"$750,000 ",7.9,857.0,3138.0,7.0,0.284,0.662,HS,"Lexington Catholic HS (Lexington, KY)"
*Wendell Fairley(minors),2007,29,29,1,Giants via Mets,OF,0.0,FrRnd,Y,"$1,000,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"George County HS (Lucedale, MS)"
*Nick Noonan(minors),2007,32,32,1s,Giants,2B,0.0,FrRnd,Y,"$915,750 ",-1.2,83.0,145.0,1.0,0.193,0.473,HS,"Parker HS (San Diego, CA)"
*Jon Gilmore(minors),2007,33,33,1s,Braves,3B,0.0,FrRnd,Y,"$900,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Iowa City HS (Iowa City, IA)"
*Todd Frazier(minors),2007,34,34,1s,Reds,3B,0.0,FrRnd,Y,"$825,000 ",25.3,1244.0,4392.0,218.0,0.241,0.763,4Yr,"Rutgers, the State University of New Jersey (New Brunswick, NJ)"
*Julio Borbon(minors),2007,35,35,1s,Rangers,OF,0.0,FrRnd,Y,"$800,000 ",1.7,294.0,802.0,8.0,0.273,0.665,4Yr,"University of Tennessee (Knoxville, TN)"
*Travis d'Arnaud(minors),2007,37,37,1s,Phillies,C,0.0,FrRnd,Y,"$832,500 ",5.1,659.0,2278.0,90.0,0.251,0.736,HS,"Lakewood HS (Lakewood, CA)"
*Kellen Kulbacki(minors),2007,40,40,1s,Padres,OF,0.0,FrRnd,Y,"$765,000 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"James Madison University (Harrisonburg, VA)"
*Sean Doolittle(minors),2007,41,41,1s,Athletics,1B,0.0,FrRnd,Y,"$742,500 ",10.0,189.0,4.0,0.0,0.0,0.0,4Yr,"University of Virginia (Charlottesville, VA)"
*Jackson Williams(minors),2007,43,43,1s,Giants,C,0.0,FrRnd,Y,"$708,750 ",0.1,14.0,24.0,1.0,0.208,0.742,4Yr,"University of Oklahoma (Norman, OK)"
*Justin Jackson(minors),2007,45,45,1s,Blue Jays,SS,0.0,FrRnd,Y,"$675,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"T. C. Roberson HS (Asheville, NC)"
*Drew Cumberland(minors),2007,46,46,1s,Padres,SS,0.0,FrRnd,Y,"$661,500 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Pace HS (Pace, FL)"
*Josh Donaldson(minors),2007,48,48,1s,Cubs,C,0.0,FrRnd,Y,"$652,500 ",46.2,1262.0,4600.0,257.0,0.267,0.863,4Yr,"Auburn University (Auburn, AL)"
*Michael Burgess(minors),2007,49,49,1s,Nationals,OF,0.0,FrRnd,Y,"$630,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Hillsborough HS (Tampa, FL)"
*Charlie Culberson(minors),2007,51,51,1s,Giants,2B,0.0,FrRnd,Y,"$607,500 ",-0.4,558.0,1163.0,28.0,0.248,0.676,HS,"Calhoun HS (Calhoun, GA)"
*Matt Mangini(minors),2007,52,52,1s,Mariners,3B,0.0,FrRnd,Y,"$603,000 ",-0.2,11.0,38.0,0.0,0.211,0.461,4Yr,"Oklahoma State University (Stillwater, OK)"
*Mitch Canham(minors),2007,57,57,1s,Padres,C,0.0,FrRnd,Y,"$552,500 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Oregon State University (Corvallis, OR)"
*Corey Brown(minors),2007,59,59,1s,Athletics,OF,0.0,FrRnd,Y,"$544,500 ",0.4,39.0,41.0,2.0,0.171,0.635,4Yr,"Oklahoma State University (Stillwater, OK)"
*Ed Easley(minors),2007,61,61,1s,Diamondbacks,C,0.0,FrRnd,Y,"$531,000 ",-0.1,4.0,6.0,0.0,0.0,0.0,4Yr,"Mississippi State University (Mississippi State, MS)"
*Ryan Dent(minors),2007,62,62,1s,Red Sox,SS,0.0,FrRnd,Y,"$571,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Woodrow Wilson HS (Long Beach, CA)"
*Danny Payne(minors),2007,64,64,1s,Padres,OF,0.0,FrRnd,Y,"$517,500 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Georgia Institute of Technology (Atlanta, GA)"
Evan Longoria(minors),2006,3,3,1,Devil Rays,3B,0.0,FrRnd,Y,"$3,000,000 ",57.6,1866.0,6958.0,325.0,0.266,0.808,4Yr,"California State University, Long Beach (Long Beach, CA)"
Drew Stubbs(minors),2006,8,8,1,Reds,OF,0.0,FrRnd,Y,"$2,000,000 ",7.9,911.0,2834.0,92.0,0.242,0.704,4Yr,"University of Texas at Austin (Austin, TX)"
Billy Rowell(minors),2006,9,9,1,Orioles,3B,0.0,FrRnd,Y,"$2,100,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Bishop Eustace Preparatory School (Pennsauken, NJ)"
Tyler Colvin(minors),2006,13,13,1,Cubs,OF,0.0,FrRnd,Y,"$1,475,000 ",0.9,441.0,1215.0,49.0,0.239,0.733,4Yr,"Clemson University (Clemson, SC)"
Travis Snider(minors),2006,14,14,1,Blue Jays,OF,0.0,FrRnd,Y,"$1,700,000 ",4.3,630.0,1783.0,54.0,0.244,0.709,HS,"Henry M. Jackson HS (Mill Creek, WA)"
Chris Marrero(minors),2006,15,15,1,Nationals,OF,0.0,FrRnd,Y,"$1,625,000 ",-1.5,54.0,163.0,1.0,0.209,0.493,HS,"Monsignor Edward Pace HS (Miami Gardens, FL)"
Matt Antonelli(minors),2006,17,17,1,Padres,3B,0.0,FrRnd,Y,"$1,575,000 ",-0.3,21.0,57.0,1.0,0.193,0.573,4Yr,"Wake Forest University (Winston-Salem, NC)"
Chris Parmelee(minors),2006,20,20,1,Twins,OF,0.0,FrRnd,Y,"$1,500,000 ",0.0,311.0,917.0,30.0,0.248,0.717,HS,"Chino Hills HS (Chino Hills, CA)"
Maxwell Sapp(minors),2006,23,23,1,Astros,C,0.0,FrRnd,Y,"$1,400,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Bishop Moore HS (Orlando, FL)"
Cody Johnson(minors),2006,24,24,1,Braves,OF,0.0,FrRnd,Y,"$1,375,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"A. Crawford Mosley HS (Lynn Haven, FL)"
*Hank Conger(minors),2006,25,25,1,Angels via Indians,C,0.0,FrRnd,Y,"$1,350,000 ",2.0,373.0,1013.0,31.0,0.221,0.66,HS,"Huntington Beach HS (Huntington Beach, CA)"
Jason Place(minors),2006,27,27,1,Red Sox,OF,0.0,FrRnd,Y,"$1,300,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Wren HS (Piedmont, SC)"
*Preston Mattingly(minors),2006,31,31,1s,Dodgers,SS,0.0,FrRnd,Y,"$1,000,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Central HS (Evansville, IN)"
*Emmanuel Burriss(minors),2006,33,33,1s,Giants,SS,0.0,FrRnd,Y,"$1,000,000 ",-2.7,325.0,768.0,1.0,0.237,0.565,4Yr,"Kent State University (Kent, OH)"
*Kyler Burke(minors),2006,35,35,1s,Padres,OF,0.0,FrRnd,Y,"$950,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Ooltewah HS (Ooltewah, TN)"
*Chris Coghlan(minors),2006,36,36,1s,Marlins,3B,0.0,FrRnd,Y,"$950,000 ",1.1,801.0,2580.0,53.0,0.258,0.731,4Yr,"University of Mississippi (Oxford, MS)"
*Adrian Cardenas(minors),2006,37,37,1s,Phillies,SS,0.0,FrRnd,Y,"$925,000 ",-0.3,45.0,60.0,0.0,0.183,0.552,HS,"Monsignor Edward Pace HS (Miami Gardens, FL)"
Matt Bush(minors),2004,1,1,1,Padres,SS,0.0,FrRnd,Y,"$3,150,000 ",2.6,8.0,0.0,0.0,0.0,0.0,HS,"Mission Bay HS (San Diego, CA)"
Chris Nelson(minors),2004,9,9,1,Rockies,SS,0.0,FrRnd,Y,"$2,150,000 ",-2.6,282.0,834.0,16.0,0.265,0.699,HS,"Redan HS (Stone Mountain, GA)"
Neil Walker(minors),2004,11,11,1,Pirates,C,0.0,FrRnd,Y,"$1,950,000 ",19.6,1306.0,4583.0,149.0,0.267,0.764,HS,"Pine-Richland HS (Gibsonia, PA)"
Billy Butler(minors),2004,14,14,1,Royals,3B,0.0,FrRnd,Y,"$1,450,000 ",11.9,1414.0,5105.0,147.0,0.29,0.795,HS,"Wolfson HS (Jacksonville, FL)"
Stephen Drew(minors),2004,15,15,1,Diamondbacks,SS,0.0,FrRnd,Y,"$4,000,000 ",15.9,1268.0,4403.0,123.0,0.252,0.741,4Yr,"Florida State University (Tallahassee, FL)"
Josh Fields(minors),2004,18,18,1,White Sox,3B,0.0,FrRnd,Y,"$1,550,000 ",-1.1,217.0,713.0,34.0,0.234,0.724,4Yr,"Oklahoma State University (Stillwater, OK)"
Trevor Plouffe(minors),2004,20,20,1,Twins,SS,0.0,FrRnd,Y,"$1,500,000 ",7.3,830.0,2933.0,106.0,0.242,0.714,HS,"Crespi Carmelite HS (Encino, CA)"
Greg Golson(minors),2004,21,21,1,Phillies,OF,0.0,FrRnd,Y,"$1,475,000 ",-0.6,40.0,41.0,0.0,0.195,0.458,HS,"John B. Connally HS (Austin, TX)"
*Landon Powell(minors),2004,24,24,1,Athletics via Red Sox,C,0.0,FrRnd,Y,"$1,000,000 ",0.2,123.0,363.0,10.0,0.207,0.612,4Yr,"University of South Carolina (Columbia, SC)"
Richie Robnett(minors),2004,26,26,1,Athletics,OF,0.0,FrRnd,Y,"$1,325,000 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"California State University, Fresno (Fresno, CA)"
*Blake DeWitt(minors),2004,28,28,1,Dodgers via Yankees,2B,0.0,FrRnd,Y,"$1,200,000 ",1.9,426.0,1119.0,21.0,0.257,0.705,HS,"Sikeston HS (Sikeston, MO)"
*Matt Campbell(minors),2004,29,29,1,Royals via Giants,lHP,0.0,FrRnd,Y,"$1,100,000 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of South Carolina (Columbia, SC)"
*Danny Putnam(minors),2004,36,36,1s,Athletics,OF,0.0,FrRnd,Y,"$950,000 ",-0.2,11.0,28.0,1.0,0.214,0.612,4Yr,"Stanford University (Palo Alto, CA)"
*Jon Poterson(minors),2004,37,37,1s,Yankees,C,0.0,FrRnd,Y,"$925,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Chandler HS (Chandler, AZ)"
*Gio Gonzalez(minors),2004,38,38,1s,White Sox,lHP,0.0,FrRnd,Y,"$850,000 ",28.3,221.0,410.0,3.0,0.09,0.247,HS,"Monsignor Edward Pace HS (Miami Gardens, FL)"
Justin Upton(minors),2005,1,1,1,Diamondbacks,SS,0.0,FrRnd,Y,"$6,100,000 ",32.3,1842.0,6714.0,325.0,0.261,0.812,HS,"Great Bridge HS (Chesapeake, VA)"
Alex Gordon(minors),2005,2,2,1,Royals,3B,0.0,FrRnd,Y,"$4,000,000 ",34.4,1753.0,6391.0,190.0,0.257,0.749,4Yr,"University of Nebraska-Lincoln (Lincoln, NE)"
Jeff Clement(minors),2005,3,3,1,Mariners,C,0.0,FrRnd,Y,"$3,400,000 ",-1.2,152.0,385.0,14.0,0.218,0.648,4Yr,"University of Southern California (Los Angeles, CA)"
Ryan Zimmerman(minors),2005,4,4,1,Nationals,3B,0.0,FrRnd,Y,"$2,975,000 ",40.1,1799.0,6654.0,284.0,0.277,0.816,4Yr,"University of Virginia (Charlottesville, VA)"
Ryan Braun(minors),2005,5,5,1,Brewers,3B,0.0,FrRnd,Y,"$2,450,000 ",47.1,1766.0,6622.0,352.0,0.296,0.891,4Yr,"University of Miami (Coral Gables, FL)"
Troy Tulowitzki(minors),2005,7,7,1,Rockies,SS,0.0,FrRnd,Y,"$2,300,000 ",44.5,1291.0,4804.0,225.0,0.29,0.856,4Yr,"California State University, Long Beach (Long Beach, CA)"
Cameron Maybin(minors),2005,10,10,1,Tigers,OF,0.0,FrRnd,Y,"$2,650,000 ",13.5,1162.0,3824.0,72.0,0.254,0.697,HS,"T. C. Roberson HS (Asheville, NC)"
Andrew McCutchen(minors),2005,11,11,1,Pirates,OF,0.0,FrRnd,Y,"$1,900,000 ",46.1,1828.0,6786.0,277.0,0.279,0.843,HS,"Fort Meade HS (Fort Meade, FL)"
Jay Bruce(minors),2005,12,12,1,Reds,OF,0.0,FrRnd,Y,"$1,800,000 ",19.9,1650.0,5964.0,319.0,0.244,0.781,HS,"West Brook HS (Beaumont, TX)"
Brandon Snyder(minors),2005,13,13,1,Orioles,C,0.0,FrRnd,Y,"$1,700,000 ",-0.1,122.0,200.0,9.0,0.24,0.731,HS,"Westfield HS (Chantilly, VA)"
Trevor Crowe(minors),2005,14,14,1,Indians,OF,0.0,FrRnd,Y,"$1,695,000 ",0.2,265.0,818.0,4.0,0.24,0.615,4Yr,"University of Arizona (Tucson, AZ)"
*C.J. Henry(minors),2005,17,17,1,Yankees via Phillies,SS,0.0,FrRnd,Y,"$1,575,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Putnam City HS (Oklahoma City, OK)"
John Mayberry(minors),2005,19,19,1,Rangers,OF,0.0,FrRnd,Y,"$1,525,000 ",1.5,574.0,1386.0,56.0,0.235,0.72,4Yr,"Stanford University (Palo Alto, CA)"
Cliff Pennington(minors),2005,21,21,1,Athletics,SS,0.0,FrRnd,Y,"$1,475,000 ",10.1,971.0,2799.0,36.0,0.242,0.648,4Yr,"Texas A&M University (College Station, TX)"
*Jacoby Ellsbury(minors),2005,23,23,1,Red Sox via Angels,OF,0.0,FrRnd,Y,"$1,400,000 ",31.2,1235.0,4846.0,104.0,0.284,0.76,4Yr,"Oregon State University (Corvallis, OR)"
*Colby Rasmus(minors),2005,28,28,1,Cardinals via Red Sox,OF,0.0,FrRnd,Y,"$1,000,000 ",20.2,1092.0,3704.0,166.0,0.241,0.745,HS,"Russell County HS (Seale, AL)"
Tyler Greene(minors),2005,30,30,1,Cardinals,SS,0.0,FrRnd,Y,"$1,100,000 ",-0.4,288.0,675.0,17.0,0.224,0.645,4Yr,"Georgia Institute of Technology (Atlanta, GA)"
*Johnny Drennen(minors),2005,33,33,1s,Indians,OF,0.0,FrRnd,Y,"$1,000,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Rancho Bernardo HS (San Diego, CA)"
*Travis Buck(minors),2005,36,36,1s,Athletics,OF,0.0,FrRnd,Y,"$950,000 ",2.8,253.0,810.0,20.0,0.243,0.715,4Yr,"Arizona State University (Tempe, AZ)"
*Eli Iorg(minors),2005,38,38,1s,Astros,OF,0.0,FrRnd,Y,"$900,000 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of Tennessee (Knoxville, TN)"
*Hank Sanchez(minors),2005,39,39,1s,Twins,1B,0.0,FrRnd,Y,"$900,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Mission Bay HS (San Diego, CA)"
*Jed Lowrie(minors),2005,45,45,1s,Red Sox,2B,0.0,FrRnd,Y,"$762,000 ",16.0,1303.0,4599.0,121.0,0.257,0.737,4Yr,"Stanford University (Palo Alto, CA)"
