Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
2010,1,,1,FrRnd,1,Nationals,Y,"$6,250,000 ",Bryce Harper (minors),OF,42.7,1347,4799,282,0.281,0.919,,,,,,,JC,"College of Southern Nevada (Henderson, NV)"
2010,1,,2,FrRnd,2,Pirates,Y,"$6,500,000 ",Jameson Taillon (minors),RHP,11.3,78,136,0,0.11,0.241,127,46,32,3.79,1.23,0,HS,"The Woodlands HS (The Woodlands, TX)"
2010,1,,3,FrRnd,3,Orioles,Y,"$5,250,000 ",Manny Machado (minors),SS,49.1,1367,5367,263,0.282,0.831,,,,,,,HS,"Brito Miami Private School (Miami, FL)"
2010,1,,4,FrRnd,4,Royals,Y,"$2,750,000 ",Christian Colon (minors),SS,1.1,161,378,1,0.249,0.622,,,,,,,4Yr,"California State University, Fullerton (Fullerton, CA)"
2010,1,,5,FrRnd,5,Indians,Y,"$2,650,000 ",Drew Pomeranz (minors),LHP,12.4,131,89,2,0.135,0.369,289,48,58,3.91,1.35,9,4Yr,"University of Mississippi (Oxford, MS)"
2010,1,,6,FrRnd,6,Diamondbacks,N,,Barret Loux (minors),RHP,,,,,,,,,,,,,4Yr,"Texas A&M University (College Station, TX)"
2010,1,,7,FrRnd,7,Mets,Y,"$2,525,000 ",Matt Harvey (minors),RHP,9.4,132,255,1,0.106,0.265,180,50,66,4.42,1.29,0,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)"
2010,1,,8,FrRnd,8,Astros,Y,"$2,150,000 ",Delino DeShields (minors),CF,5.1,601,1828,19,0.246,0.669,,,,,,,HS,"Woodward Academy (College Park, GA)"
2010,1,,9,FrRnd,9,Padres,N,,Karsten Whitson (minors),RHP,,,,,,,,,,,,,HS,"Chipley HS (Chipley, FL)"
2010,1,,10,FrRnd,10,Athletics,Y,"$2,000,000 ",Michael Choice (minors),CF,-2,96,272,9,0.188,0.573,,,,,,,4Yr,"University of Texas at Arlington (Arlington, TX)"
2010,1,,11,FrRnd,11,Blue Jays,Y,"$2,000,000 ",Deck McGuire (minors),RHP,-0.2,9,6,0,0.167,0.333,27,1,3,5.23,1.47,0,4Yr,"Georgia Institute of Technology (Atlanta, GA)"
2010,1,,12,FrRnd,12,Reds,Y,"$2,000,000 ",Yasmani Grandal (minors),C,20.6,1068,3406,174,0.238,0.793,,,,,,,4Yr,"University of Miami (Coral Gables, FL)"
2010,1,,13,FrRnd,13,White Sox,Y,"$1,656,000 ",Chris Sale (minors),LHP,45.5,14,26,0,0.115,0.269,321,114,74,3.03,1.04,12,4Yr,"Florida Gulf Coast University (Fort Myers, FL)"
2010,1,,14,FrRnd,14,Brewers,N,,Dylan Covey (minors),RHP,-3,4,4,0,0,0,71,6,29,6.57,1.59,0,HS,"Maranatha HS (Pasadena, CA)"
2010,1s,,15,FrRnd,15,Rangers,Y,"$1,557,000 ",*Jake Skole (minors),CF,,,,,,,,,,,,,HS,"Blessed Trinity Catholic HS (Roswell, GA)"
2010,1,,16,FrRnd,16,Cubs,Y,"$1,060,000 ",Hayden Simpson (minors),RHP,,,,,,,,,,,,,4Yr,"Southern Arkansas University (Magnolia, AR)"
2010,1,,17,FrRnd,17,Rays,Y,"$1,620,000 ",Josh Sale (minors),RF,,,,,,,,,,,,,HS,"Bishop Blanchet HS (Seattle, WA)"
2010,1,,18,FrRnd,18,Angels via Mariners,Y,"$2,300,000 ",*Kaleb Cowart (minors),RHP,-1.4,171,370,6,0.176,0.53,,,,,,,HS,"Cook HS (Adel, GA)"
2010,1,,19,FrRnd,19,Astros via Tigers,Y,"$1,305,000 ",*Mike Foltynewicz (minors),RHP,4.3,117,201,0,0.07,0.159,166,46,54,4.52,1.32,0,HS,"Minooka HS (Minooka, IL)"
2010,1,,20,FrRnd,20,Red Sox via Braves,Y,"$1,359,000 ",*Kolbrin Vitek (minors),2B,,,,,,,,,,,,,4Yr,"Ball State University (Muncie, IN)"
2010,1,,21,FrRnd,21,Twins,Y,"$1,332,000 ",Alex Wimmers (minors),RHP,0.2,2,0,0,,,22,1,3,4.38,1.66,0,4Yr,"The Ohio State University (Columbus, OH)"
2010,1,,22,FrRnd,22,Rangers,Y,"$1,000,000 ",Kellin Deglan (minors),C,,,,,,,,,,,,,HS,"R. E. Mountain Secondary (Langley, BC)"
2010,1,,23,FrRnd,23,Marlins,Y,"$1,700,000 ",Christian Yelich (minors),1B,34.9,1176,4447,168,0.289,0.848,,,,,,,HS,"Westlake HS (Westlake Village, CA)"
2010,1,,24,FrRnd,24,Giants,Y,"$1,450,000 ",Gary Brown (minors),CF,0.1,7,7,0,0.429,0.857,,,,,,,4Yr,"California State University, Fullerton (Fullerton, CA)"
2010,1,,25,FrRnd,25,Cardinals,Y,"$2,000,000 ",Zack Cox (minors),3B,,,,,,,,,,,,,4Yr,"University of Arkansas (Fayetteville, AR)"
2010,1,,26,FrRnd,26,Rockies,Y,"$1,400,000 ",Kyle Parker (minors),RF,-1.6,64,132,3,0.182,0.513,,,,,,,4Yr,"Clemson University (Clemson, SC)"
2010,1,,27,FrRnd,27,Phillies,Y,"$1,160,000 ",Jesse Biddle (minors),LHP,-0.6,77,2,0,0.5,1.5,99,6,2,5.07,1.6,1,HS,"Germantown Friends HS (Philadelphia, PA)"
2010,1,,28,FrRnd,28,Dodgers,Y,"$5,250,000 ",Zach Lee (minors),RHP,-0.3,4,5,0,0,0,4,1,1,8.53,2.21,0,HS,"McKinney HS (McKinney, TX)"
2010,1,,29,FrRnd,29,Angels via Red Sox,Y,"$1,116,000 ",*Cam Bedrosian (minors),RHP,1.7,40,0,0,,,311,17,13,3.81,1.37,9,HS,"East Coweta HS (Sharpsburg, GA)"
2010,1,,30,FrRnd,30,Angels,Y,"$1,089,000 ",Chevy Clarke (minors),CF,,,,,,,,,,,,,HS,"Marietta HS (Marietta, GA)"
2010,1s,,31,FrRnd,31,Rays,Y,"$1,025,000 ",*Justin O'Conner (minors),C,,,,,,,,,,,,,HS,"Cowan HS (Muncie, IN)"
2010,1,,32,FrRnd,32,Yankees,Y,"$954,000 ",Cito Culver (minors),RHP,,,,,,,,,,,,,HS,"Irondequoit HS (Rochester, NY)"
2010,1s,,33,FrRnd,33,Astros,Y,"$936,000 ",*Mike Kvasnicka (minors),C,,,,,,,,,,,,,4Yr,"University of Minnesota (Minneapolis, MN)"
2010,1s,,34,FrRnd,34,Blue Jays,Y,"$775,000 ",*Aaron Sanchez (minors),RHP,8.2,17,22,0,0,0.044,166,38,37,4.14,1.38,3,HS,"Barstow HS (Barstow, CA)"
2010,1s,,35,FrRnd,35,Braves,Y,"$800,000 ",*Matt Lipka (minors),SS,,,,,,,,,,,,,HS,"McKinney HS (McKinney, TX)"
2010,1s,,36,FrRnd,36,Red Sox,Y,"$889,200 ",*Bryce Brentz (minors),LF,0,34,87,1,0.287,0.69,,,,,,,4Yr,"Middle Tennessee State University (Murfreesboro, TN)"
2010,1s,,37,FrRnd,37,Angels,Y,"$873,000 ",*Taylor Lindsey (minors),SS,,,,,,,,,,,,,HS,"Desert Mountain HS (Scottsdale, AZ)"
2010,1s,,38,FrRnd,38,Blue Jays,Y,"$600,000 ",*Noah Syndergaard (minors),RHP,15.7,113,222,6,0.153,0.472,134,52,38,3.37,1.16,0,HS,"Legacy HS (Mansfield, TX)"
2010,1s,,39,FrRnd,39,Red Sox,Y,"$2,550,000 ",*Anthony Ranaudo (minors),RHP,-1.6,5,10,1,0.1,0.5,20,5,5,7.01,1.59,0,4Yr,"Louisiana State University (Baton Rouge, LA)"
2010,1s,,40,FrRnd,40,Angels,Y,"$829,800 ",*Ryan Bolden (minors),CF,,,,,,,,,,,,,HS,"Madison Central HS (Madison, MS)"
2010,1s,,41,FrRnd,41,Blue Jays,Y,"$815,400 ",*Asher Wojciechowski (minors),RHP,-0.3,24,15,0,0.067,0.133,58,9,15,5.93,1.46,0,4Yr,"The Citadel (Charleston, SC)"
2010,1s,,42,FrRnd,42,Rays,Y,"$845,000 ",*Drew Vettleson (minors),RF,,,,,,,,,,,,,HS,"Central Kitsap HS (Silverdale, WA)"
2010,1s,,43,FrRnd,43,Mariners,Y,"$800,000 ",*Taijuan Walker (minors),RHP,9.8,61,112,1,0.161,0.388,152,49,47,3.87,1.22,0,HS,"Yucaipa HS (Yucaipa, CA)"
2010,1s,,44,FrRnd,44,Tigers,Y,"$3,450,000 ",*Nick Castellanos (minors),3B,11.6,1167,4424,176,0.276,0.805,,,,,,,HS,"Archbishop McCarthy HS (Southwest Ranches, FL)"
2010,1s,,45,FrRnd,45,Rangers,Y,"$1,545,000 ",*Luke Jackson (minors),RHP,2.2,205,3,0,0,0.25,253,16,6,4.24,1.47,19,HS,"Calvary Christian HS (Fort Lauderdale, FL)"
2010,1s,,46,FrRnd,46,Cardinals,Y,"$751,500 ",*Seth Blair (minors),RHP,,,,,,,,,,,,,4Yr,"Arizona State University (Tempe, AZ)"
2010,1s,,47,FrRnd,47,Rockies,Y,"$982,500 ",*Pete Tago (minors),RHP,,,,,,,,,,,,,HS,"Dana Hills HS (Dana Point, CA)"
2010,1s,,48,FrRnd,48,Tigers,Y,"$1,150,000 ",*Chance Ruffin (minors),RHP,-0.5,2,0,0,,,24,1,2,5.6,1.68,0,4Yr,"University of Texas at Austin (Austin, TX)"
2010,1s,,49,FrRnd,49,Rangers,Y,"$717,300 ",*Mike Olt (minors),3B,-1.7,135,352,16,0.168,0.58,,,,,,,4Yr,"University of Connecticut (Storrs, CT)"
2010,1s,,50,FrRnd,50,Cardinals,Y,"$1,300,000 ",*Tyrell Jenkins (minors),RHP,-0.4,14,13,0,0,0,14,2,4,5.88,1.69,0,HS,"Henderson HS (Henderson, TX)"
