Name,Year,OvPck,RdPck,Rnd,Tm,Pos,FrRnd,Signed,Bonus,WAR,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of
*Dan Meyer(minors),2002,34,34,1s,Braves,LHP,FrRnd,Y,"$1,000,000 ",-0.9,103.0,3.0,9.0,5.46,1.55,2.0,4Yr,"James Madison University (Harrisonburg, VA)"
*Chadd Blasko(minors),2002,36,36,1s,Cubs,RHP,FrRnd,Y,"$1,050,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Purdue University (West Lafayette, IN)"
*Steve Obenchain(minors),2002,37,37,1s,Athletics,RHP,FrRnd,Y,"$750,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of Evansville (Evansville, IN)"
*Matt Clanton(minors),2002,38,38,1s,Cubs,RHP,FrRnd,Y,"$875,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,"Orange Coast College (Costa Mesa, CA)"
Kyle Sleeth(minors),2003,3,3,1,Tigers,RHP,FrRnd,Y,"$3,350,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Wake Forest University (Winston-Salem, NC)"
Tim Stauffer(minors),2003,4,4,1,Padres,RHP,FrRnd,Y,"$750,000 ",3.8,201.0,33.0,34.0,3.97,1.33,0.0,4Yr,"University of Richmond (Richmond, VA)"
Paul Maholm(minors),2003,8,8,1,Pirates,LHP,FrRnd,Y,"$2,200,000 ",11.9,273.0,77.0,100.0,4.3,1.4,0.0,4Yr,"Mississippi State University (Mississippi State, MS)"
John Danks(minors),2003,9,9,1,Rangers,LHP,FrRnd,Y,"$2,100,000 ",20.2,247.0,79.0,104.0,4.38,1.35,0.0,HS,"Round Rock HS (Round Rock, TX)"
Ryan Wagner(minors),2003,14,14,1,Reds,RHP,FrRnd,Y,"$1,400,000 ",-0.3,148.0,11.0,9.0,4.79,1.59,0.0,4Yr,"University of Houston (Houston, TX)"
Jeff Allison(minors),2003,16,16,1,Marlins,RHP,FrRnd,Y,"$1,850,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Veterans Memorial HS (Peabody, MA)"
Chad Cordero(minors),2003,20,20,1,Expos,RHP,FrRnd,Y,"$1,350,000 ",7.3,314.0,20.0,15.0,2.89,1.21,128.0,4Yr,"California State University, Fullerton (Fullerton, CA)"
*David Aardsma(minors),2003,22,22,1,Giants via Astros,RHP,FrRnd,Y,"$1,425,000 ",1.8,331.0,16.0,18.0,4.27,1.42,69.0,4Yr,"Rice University (Houston, TX)"
Chad Billingsley(minors),2003,24,24,1,Dodgers,RHP,FrRnd,Y,"$1,375,000 ",17.2,226.0,83.0,64.0,3.72,1.37,0.0,HS,"Defiance HS (Defiance, OH)"
Brad Sullivan(minors),2003,25,25,1,Athletics,RHP,FrRnd,Y,"$1,360,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of Houston (Houston, TX)"
*Adam Miller(minors),2003,31,31,1s,Indians,RHP,FrRnd,Y,"$1,025,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"McKinney HS (McKinney, TX)"
*Craig Whitaker(minors),2003,34,34,1s,Giants,RHP,FrRnd,Y,"$975,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Lufkin HS (Lufkin, TX)"
*Luis Atilano(minors),2003,35,35,1s,Braves,RHP,FrRnd,Y,"$950,000 ",-0.9,16.0,6.0,7.0,5.15,1.49,0.0,HS,"Gabriela Mistral HS (San Juan, Puerto Rico)"
David Price(minors),2007,1,1,1,Devil Rays,LHP,FrRnd,Y,"$5,600,000 ",39.6,379.0,155.0,82.0,3.33,1.16,1.0,4Yr,"Vanderbilt University (Nashville, TN)"
Daniel Moskos(minors),2007,4,4,1,Pirates,LHP,FrRnd,Y,"$2,475,000 ",0.2,31.0,1.0,1.0,2.96,1.56,0.0,4Yr,"Clemson University (Clemson, SC)"
Ross Detwiler(minors),2007,6,6,1,Nationals,LHP,FrRnd,Y,"$2,150,000 ",0.4,293.0,30.0,51.0,4.56,1.46,1.0,4Yr,"Missouri State University (Springfield, MO)"
Casey Weathers(minors),2007,8,8,1,Rockies,RHP,FrRnd,Y,"$1,800,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Vanderbilt University (Nashville, TN)"
Jarrod Parker(minors),2007,9,9,1,Diamondbacks,RHP,FrRnd,Y,"$2,100,000 ",6.5,62.0,25.0,16.0,3.68,1.24,0.0,HS,"Norwell HS (Ossian, IN)"
Madison Bumgarner(minors),2007,10,10,1,Giants,LHP,FrRnd,Y,"$2,000,000 ",39.7,341.0,131.0,114.0,3.33,1.13,0.0,HS,"South Caldwell HS (Hudson, NC)"
Phillippe Aumont(minors),2007,11,11,1,Mariners,RHP,FrRnd,Y,"$1,900,000 ",-0.7,46.0,1.0,6.0,6.8,1.99,2.0,HS,"Ecole Du Versant (Gatineau, QC)"
*Blake Beavan(minors),2007,17,17,1,Rangers via Astros,RHP,FrRnd,Y,"$1,497,000 ",1.7,54.0,16.0,20.0,4.61,1.27,0.0,HS,"Irving HS (Irving, TX)"
Joe Savery(minors),2007,19,19,1,Phillies,LHP,FrRnd,Y,"$1,372,500 ",-0.1,44.0,3.0,2.0,3.83,1.26,0.0,4Yr,"Rice University (Houston, TX)"
*Chris Withrow(minors),2007,20,20,1,Dodgers via Red Sox,RHP,FrRnd,Y,"$1,350,000 ",1.4,92.0,6.0,0.0,3.07,1.14,1.0,HS,"Midland HS (Midland, TX)"
*Tim Alderson(minors),2007,22,22,1,Giants via Dodgers,RHP,FrRnd,Y,"$1,290,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Horizon HS (Scottsdale, AZ)"
Nick Schmidt(minors),2007,23,23,1,Padres,LHP,FrRnd,Y,"$1,260,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of Arkansas (Fayetteville, AR)"
*Michael Main(minors),2007,24,24,1,Rangers via Angels,RHP,FrRnd,Y,"$1,237,500 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"DeLand HS (DeLand, FL)"
Aaron Poreda(minors),2007,25,25,1,White Sox,LHP,FrRnd,Y,"$1,200,000 ",0.2,40.0,3.0,1.0,4.67,1.73,0.0,4Yr,"University of San Francisco (San Francisco, CA)"
James Simmons(minors),2007,26,26,1,Athletics,RHP,FrRnd,Y,"$1,192,500 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of California, Riverside (Riverside, CA)"
Rick Porcello(minors),2007,27,27,1,Tigers,RHP,FrRnd,Y,"$3,580,000 ",18.8,355.0,150.0,125.0,4.4,1.32,0.0,HS,"Seton Hall Preparatory School (West Orange, NJ)"
Andrew Brackman(minors),2007,30,30,1,Yankees,RHP,FrRnd,Y,"$3,350,000 ",0.1,3.0,0.0,0.0,0.0,1.71,0.0,4Yr,"North Carolina State University (Raleigh, NC)"
*Josh Smoker(minors),2007,31,31,1s,Nationals,LHP,FrRnd,Y,"$1,000,000 ",-0.7,82.0,4.0,2.0,5.35,1.7,0.0,HS,"Calhoun HS (Calhoun, GA)"
*Clayton Mortensen(minors),2007,36,36,1s,Cardinals,RHP,FrRnd,Y,"$650,000 ",-0.5,74.0,6.0,11.0,4.68,1.44,0.0,4Yr,"Gonzaga University (Spokane, WA)"
*Brett Cecil(minors),2007,38,38,1s,Blue Jays,LHP,FrRnd,Y,"$810,000 ",6.7,443.0,44.0,47.0,4.29,1.36,12.0,4Yr,"University of Maryland (College Park, MD)"
*James Adkins(minors),2007,39,39,1s,Dodgers,LHP,FrRnd,Y,"$787,500 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of Tennessee (Knoxville, TN)"
*Eddie Kunz(minors),2007,42,42,1s,Mets,RHP,FrRnd,Y,"$720,000 ",-0.2,4.0,0.0,0.0,13.5,2.25,0.0,4Yr,"Oregon State University (Corvallis, OR)"
*Neil Ramirez(minors),2007,44,44,1s,Rangers,RHP,FrRnd,Y,"$1,000,000 ",0.3,185.0,4.0,8.0,4.46,1.42,3.0,HS,"Kempsville HS (Virginia Beach, VA)"
*Nathan Vineyard(minors),2007,47,47,1s,Mets,LHP,FrRnd,Y,"$657,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Woodland HS (Cartersville, GA)"
*Wes Roemer(minors),2007,50,50,1s,Diamondbacks,RHP,FrRnd,Y,"$620,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"California State University, Fullerton (Fullerton, CA)"
*Kyle Lotzkar(minors),2007,53,53,1s,Reds,RHP,FrRnd,Y,"$594,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
*Tommy Hunter(minors),2007,54,54,1s,Rangers,RHP,FrRnd,Y,"$585,000 ",11.2,480.0,56.0,45.0,4.02,1.24,22.0,4Yr,"University of Alabama (Tuscaloosa, AL)"
*Nick Hagadone(minors),2007,55,55,1s,Red Sox,LHP,FrRnd,Y,"$571,500 ",-0.2,143.0,3.0,2.0,4.72,1.37,1.0,4Yr,"University of Washington (Seattle, WA)"
*Trystan Magnuson(minors),2007,56,56,1s,Blue Jays,RHP,FrRnd,Y,"$462,500 ",-0.2,9.0,0.0,0.0,6.14,1.36,0.0,4Yr,"University of Louisville (Louisville, KY)"
*Jon Bachanov(minors),2007,58,58,1s,Angels,RHP,FrRnd,Y,"$553,300 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"University HS (Orlando, FL)"
*Brandon Hamilton(minors),2007,60,60,1s,Tigers,RHP,FrRnd,Y,"$540,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Stanhope Elmore HS (Millbrook, AL)"
*Cory Luebke(minors),2007,63,63,1s,Padres,LHP,FrRnd,Y,"$515,000 ",2.4,64.0,10.0,13.0,3.52,1.19,0.0,4Yr,"The Ohio State University (Columbus, OH)"
Luke Hochevar(minors),2006,1,1,1,Royals,RHP,FrRnd,Y,"$3,500,000 ",3.7,279.0,46.0,65.0,4.98,1.34,3.0,0,0
Greg Reynolds(minors),2006,2,2,1,Rockies,RHP,FrRnd,Y,"$3,250,000 ",-1.5,33.0,6.0,11.0,7.01,1.65,0.0,4Yr,"Stanford University (Palo Alto, CA)"
Brad Lincoln(minors),2006,4,4,1,Pirates,RHP,FrRnd,Y,"$2,750,000 ",0.4,99.0,9.0,11.0,4.74,1.39,1.0,4Yr,"University of Houston (Houston, TX)"
Brandon Morrow(minors),2006,5,5,1,Mariners,RHP,FrRnd,Y,"$2,450,000 ",11.1,334.0,51.0,43.0,3.96,1.31,40.0,4Yr,"University of California, Berkeley (Berkeley, CA)"
Andrew Miller(minors),2006,6,6,1,Tigers,LHP,FrRnd,Y,"$3,550,000 ",7.7,612.0,55.0,55.0,4.03,1.34,63.0,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)"
Clayton Kershaw(minors),2006,7,7,1,Dodgers,LHP,FrRnd,Y,"$2,300,000 ",73.9,389.0,190.0,86.0,2.49,1.01,0.0,HS,"Highland Park HS (University Park, TX)"
Tim Lincecum(minors),2006,10,10,1,Giants,RHP,FrRnd,Y,"$2,025,000 ",19.5,278.0,110.0,89.0,3.74,1.29,1.0,4Yr,"University of Washington (Seattle, WA)"
Max Scherzer(minors),2006,11,11,1,Diamondbacks,RHP,FrRnd,Y,"$3,000,000 ",68.1,415.0,195.0,98.0,3.15,1.08,0.0,4Yr,"University of Missouri (Columbia, MO)"
Kasey Kiker(minors),2006,12,12,1,Rangers,LHP,FrRnd,Y,"$1,600,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Russell County HS (Seale, AL)"
Jeremy Jeffress(minors),2006,16,16,1,Brewers,RHP,FrRnd,Y,"$1,550,000 ",8.8,414.0,32.0,12.0,3.08,1.32,52.0,HS,"Halifax County HS (South Boston, VA)"
*Kyle Drabek(minors),2006,18,18,1,Phillies via Mets,RHP,FrRnd,Y,"$1,550,000 ",-0.1,43.0,8.0,15.0,5.26,1.7,0.0,HS,"The Woodlands HS (The Woodlands, TX)"
Brett Sinkbeil(minors),2006,19,19,1,Marlins,RHP,FrRnd,Y,"$1,525,000 ",-0.2,3.0,0.0,0.0,13.5,3.5,0.0,4Yr,"Missouri State University (Springfield, MO)"
*Ian Kennedy(minors),2006,21,21,1,Yankees via Phillies,RHP,FrRnd,Y,"$2,250,000 ",18.5,456.0,103.0,110.0,4.1,1.28,60.0,4Yr,"University of Southern California (Los Angeles, CA)"
*Colton Willems(minors),2006,22,22,1,Nationals via Athletics,RHP,FrRnd,Y,"$1,425,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"John Carroll Catholic HS (Fort Pierce, FL)"
*Bryan Morris(minors),2006,26,26,1,Dodgers via Angels,RHP,FrRnd,Y,"$1,325,000 ",2.7,231.0,20.0,12.0,3.13,1.37,1.0,JC,"Motlow State Community College (Lynchburg, TN)"
*Daniel Bard(minors),2006,28,28,1,Red Sox via Yankees,RHP,FrRnd,Y,"$1,550,000 ",6.3,330.0,24.0,31.0,3.81,1.27,47.0,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)"
Kyle McCulloch(minors),2006,29,29,1,White Sox,RHP,FrRnd,Y,"$1,050,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of Texas at Austin (Austin, TX)"
Adam Ottavino(minors),2006,30,30,1,Cardinals,RHP,FrRnd,Y,"$950,000 ",12.4,565.0,34.0,33.0,3.55,1.31,30.0,4Yr,"Northeastern University (Boston, MA)"
*Pedro Beato(minors),2006,32,32,1s,Orioles,RHP,FrRnd,Y,"$1,000,000 ",-1.0,85.0,4.0,2.0,4.31,1.3,0.0,JC,"St. Petersburg College (St. Petersburg, FL)"
*Brooks Brown(minors),2006,34,34,1s,Diamondbacks,RHP,FrRnd,Y,"$900,000 ",0.9,64.0,1.0,4.0,3.97,1.24,0.0,4Yr,"University of Georgia (Athens, GA)"
*Cory Rasmus(minors),2006,38,38,1s,Braves,RHP,FrRnd,Y,"$900,000 ",0.5,84.0,4.0,5.0,4.17,1.33,0.0,HS,"Russell County HS (Seale, AL)"
*David Huff(minors),2006,39,39,1s,Indians,LHP,FrRnd,Y,"$900,000 ",-1.8,120.0,25.0,30.0,5.17,1.51,0.0,4Yr,"University of California, Los Angeles (Los Angeles, CA)"
*Kris Johnson(minors),2006,40,40,1s,Red Sox,LHP,FrRnd,Y,"$850,000 ",0.0,7.0,0.0,3.0,5.32,1.77,0.0,4Yr,"Wichita State University (Wichita, KS)"
*Joba Chamberlain(minors),2006,41,41,1s,Yankees,RHP,FrRnd,Y,"$1,150,000 ",7.6,385.0,25.0,21.0,3.81,1.38,7.0,4Yr,"University of Nebraska-Lincoln (Lincoln, NE)"
*Chris Perez(minors),2006,42,42,1s,Cardinals,RHP,FrRnd,Y,"$800,000 ",4.7,393.0,16.0,24.0,3.51,1.24,133.0,4Yr,"University of Miami (Coral Gables, FL)"
*Steve Evarts(minors),2006,43,43,1s,Braves,LHP,FrRnd,Y,"$800,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"T. R. Robinson HS (Tampa, FL)"
*Caleb Clay(minors),2006,44,44,1s,Red Sox,RHP,FrRnd,Y,"$775,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Cullman HS (Cullman, AL)"
Justin Verlander(minors),2004,2,2,1,Tigers,RHP,FrRnd,Y,"$3,120,000 ",74.1,469.0,236.0,132.0,3.29,1.12,0.0,4Yr,"Old Dominion University (Norfolk, VA)"
Philip Humber(minors),2004,3,3,1,Mets,RHP,FrRnd,Y,"$3,000,000 ",0.9,97.0,16.0,23.0,5.31,1.42,0.0,4Yr,"Rice University (Houston, TX)"
Jeff Niemann(minors),2004,4,4,1,Devil Rays,RHP,FrRnd,Y,"$3,200,000 ",4.3,97.0,40.0,26.0,4.08,1.29,0.0,4Yr,"Rice University (Houston, TX)"
Mark Rogers(minors),2004,5,5,1,Brewers,RHP,FrRnd,Y,"$2,200,000 ",1.1,11.0,3.0,1.0,3.49,1.12,0.0,HS,"Mount Ararat School (Topsham, ME)"
Jeremy Sowers(minors),2004,6,6,1,Indians,LHP,FrRnd,Y,"$2,475,000 ",1.6,72.0,18.0,30.0,5.18,1.44,0.0,4Yr,"Vanderbilt University (Nashville, TN)"
Homer Bailey(minors),2004,7,7,1,Reds,RHP,FrRnd,Y,"$2,300,000 ",6.2,245.0,81.0,86.0,4.56,1.37,0.0,HS,"La Grange HS (La Grange, TX)"
Wade Townsend(minors),2004,8,8,1,Orioles,RHP,FrRnd,N,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Rice University (Houston, TX)"
Thomas Diamond(minors),2004,10,10,1,Rangers,RHP,FrRnd,Y,"$2,025,000 ",-0.5,16.0,1.0,3.0,6.83,1.76,0.0,4Yr,"University of New Orleans (New Orleans, LA)"
Jered Weaver(minors),2004,12,12,1,Angels,RHP,FrRnd,Y,"$4,000,000 ",34.6,331.0,150.0,98.0,3.63,1.19,0.0,4Yr,"California State University, Long Beach (Long Beach, CA)"
Bill Bray(minors),2004,13,13,1,Expos,LHP,FrRnd,Y,"$1,750,000 ",2.3,258.0,13.0,12.0,3.74,1.38,3.0,4Yr,"College of William and Mary (Williamsburg, VA)"
David Purcey(minors),2004,16,16,1,Blue Jays,LHP,FrRnd,Y,"$1,600,000 ",0.1,111.0,7.0,13.0,4.98,1.54,1.0,4Yr,"University of Oklahoma (Norman, OK)"
Scott Elbert(minors),2004,17,17,1,Dodgers,LHP,FrRnd,Y,"$1,575,000 ",1.5,127.0,4.0,3.0,3.54,1.33,2.0,HS,"Seneca HS (Seneca, MO)"
Chris Lambert(minors),2004,19,19,1,Cardinals,RHP,FrRnd,Y,"$1,525,000 ",-0.8,14.0,1.0,3.0,7.36,1.97,0.0,4Yr,"Boston College (Chestnut Hill, MA)"
*Glen Perkins(minors),2004,22,22,1,Twins via Mariners,LHP,FrRnd,Y,"$1,425,000 ",8.9,409.0,35.0,25.0,3.88,1.29,120.0,4Yr,"University of Minnesota (Minneapolis, MN)"
*Phil Hughes(minors),2004,23,23,1,Yankees via Astros,RHP,FrRnd,Y,"$1,400,000 ",11.0,290.0,88.0,79.0,4.52,1.31,3.0,HS,"Foothill HS (Santa Ana, CA)"
*Kyle Waldrop(minors),2004,25,25,1,Twins via Cubs,RHP,FrRnd,Y,"$1,000,000 ",0.5,24.0,1.0,1.0,3.62,1.52,0.0,HS,"Farragut HS (Knoxville, TN)"
Taylor Tankersley(minors),2004,27,27,1,Marlins,LHP,FrRnd,Y,"$1,300,000 ",0.6,168.0,8.0,3.0,4.58,1.52,4.0,4Yr,"University of Alabama (Tuscaloosa, AL)"
*Eric Hurley(minors),2004,30,30,1,Rangers via Braves,RHP,FrRnd,Y,"$1,050,000 ",0.1,5.0,1.0,2.0,5.47,1.42,0.0,HS,"Wolfson HS (Jacksonville, FL)"
*J.P. Howell(minors),2004,31,31,1s,Royals,LHP,FrRnd,Y,"$1,000,000 ",7.8,547.0,36.0,30.0,3.83,1.34,22.0,4Yr,"University of Texas at Austin (Austin, TX)"
*Zach Jackson(minors),2004,32,32,1s,Blue Jays,LHP,FrRnd,Y,"$1,017,500 ",-0.8,22.0,4.0,5.0,5.81,1.57,0.0,4Yr,"Texas A&M University (College Station, TX)"
*Justin Orenduff(minors),2004,33,33,1s,Dodgers,RHP,FrRnd,Y,"$1,000,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Virginia Commonwealth University (Richmond, VA)"
*Tyler Lumsden(minors),2004,34,34,1s,White Sox,LHP,FrRnd,Y,"$975,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Clemson University (Clemson, SC)"
*Matt Fox(minors),2004,35,35,1s,Twins,RHP,FrRnd,Y,"$950,000 ",0.0,4.0,0.0,0.0,4.91,1.36,0.0,4Yr,"University of Central Florida (Orlando, FL)"
*Jay Rainville(minors),2004,39,39,1s,Twins,RHP,FrRnd,Y,"$875,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Bishop Hendricken HS (Warwick, RI)"
*Huston Street(minors),2004,40,40,1s,Athletics,RHP,FrRnd,Y,"$800,000 ",14.5,668.0,42.0,34.0,2.95,1.07,324.0,4Yr,"University of Texas at Austin (Austin, TX)"
*Jeff Marquez(minors),2004,41,41,1s,Yankees,RHP,FrRnd,Y,"$790,000 ",0.0,4.0,0.0,0.0,5.4,1.4,0.0,JC,"Sacramento City College (Sacramento, CA)"
Ricky Romero(minors),2005,6,6,1,Blue Jays,LHP,FrRnd,Y,"$2,400,000 ",9.9,129.0,51.0,45.0,4.16,1.4,0.0,4Yr,"California State University, Fullerton (Fullerton, CA)"
Wade Townsend(minors),2005,8,8,1,Devil Rays,RHP,FrRnd,Y,"$1,500,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Rice University (Houston, TX)"
Mike Pelfrey(minors),2005,9,9,1,Mets,RHP,FrRnd,Y,"$3,550,000 ",5.8,275.0,68.0,103.0,4.68,1.51,1.0,4Yr,"Wichita State University (Wichita, KS)"
Lance Broadway(minors),2005,15,15,1,White Sox,RHP,FrRnd,Y,"$1,570,000 ",0.3,27.0,2.0,2.0,5.24,1.6,0.0,4Yr,"Texas Christian University (Fort Worth, TX)"
Chris Volstad(minors),2005,16,16,1,Marlins,RHP,FrRnd,Y,"$1,600,000 ",2.0,170.0,37.0,58.0,5.0,1.45,0.0,HS,"Palm Beach Gardens HS (Palm Beach Gardens, FL)"
Cesar Carrillo(minors),2005,18,18,1,Padres,RHP,FrRnd,Y,"$1,550,000 ",-0.7,3.0,1.0,2.0,13.06,2.71,0.0,4Yr,"University of Miami (Coral Gables, FL)"
Mark Pawelek(minors),2005,20,20,1,Cubs,LHP,FrRnd,Y,"$1,750,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Springville HS (Springville, UT)"
*Aaron Thompson(minors),2005,22,22,1,Marlins via Giants,LHP,FrRnd,Y,"$1,225,000 ",-0.1,52.0,1.0,3.0,4.94,1.52,0.0,HS,"Second Baptist School (Houston, TX)"
Brian Bogusevic(minors),2005,24,24,1,Astros,LHP,FrRnd,Y,"$1,375,000 ",2.1,1.0,0.0,0.0,18.0,3.0,0.0,4Yr,"Tulane University (New Orleans, LA)"
Matt Garza(minors),2005,25,25,1,Twins,RHP,FrRnd,Y,"$1,350,000 ",12.5,290.0,93.0,106.0,4.09,1.32,1.0,4Yr,"California State University, Fresno (Fresno, CA)"
*Craig Hansen(minors),2005,26,26,1,Red Sox via Dodgers,RHP,FrRnd,Y,"$1,325,000 ",-1.9,95.0,4.0,9.0,6.34,1.72,3.0,4Yr,"St. John's University (Queens, NY)"
Joey Devine(minors),2005,27,27,1,Braves,RHP,FrRnd,Y,"$1,300,000 ",2.0,93.0,8.0,3.0,2.75,1.25,1.0,4Yr,"North Carolina State University (Raleigh, NC)"
*Jacob Marceaux(minors),2005,29,29,1,Marlins via Yankees,RHP,FrRnd,Y,"$1,000,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"McNeese State University (Lake Charles, LA)"
*Matt Torra(minors),2005,31,31,1s,Diamondbacks,RHP,FrRnd,Y,"$1,025,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of Massachusetts Amherst (Amherst, MA)"
*Chaz Roe(minors),2005,32,32,1s,Rockies,RHP,FrRnd,Y,"$1,025,000 ",1.2,245.0,11.0,8.0,3.89,1.34,3.0,HS,"Lafayette HS (Lexington, KY)"
*Ryan Tucker(minors),2005,34,34,1s,Marlins,RHP,FrRnd,Y,"$975,000 ",-1.3,18.0,2.0,3.0,8.14,1.88,0.0,HS,"Temple City HS (Temple City, CA)"
*Cesar Ramos(minors),2005,35,35,1s,Padres,LHP,FrRnd,Y,"$950,000 ",1.4,267.0,10.0,15.0,4.02,1.4,2.0,4Yr,"California State University, Long Beach (Long Beach, CA)"
*Trevor Bell(minors),2005,37,37,1s,Angels,RHP,FrRnd,Y,"$925,000 ",-1.2,54.0,4.0,8.0,5.57,1.76,0.0,HS,"Crescenta Valley HS (La Crescenta, CA)"
*Luke Hochevar(minors),2005,40,40,1s,Dodgers,RHP,FrRnd,N,0,3.7,279.0,46.0,65.0,4.98,1.34,3.0,4Yr,"University of Tennessee (Knoxville, TN)"
*Beau Jones(minors),2005,41,41,1s,Braves,LHP,FrRnd,Y,"$825,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Destrehan HS (Destrehan, LA)"
*Clay Buchholz(minors),2005,42,42,1s,Red Sox,RHP,FrRnd,Y,"$800,000 ",16.8,236.0,90.0,69.0,3.98,1.3,0.0,JC,"Angelina College (Lufkin, TX)"
*Mark McCormick(minors),2005,43,43,1s,Cardinals,RHP,FrRnd,Y,"$800,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Baylor University (Waco, TX)"
*Sean West(minors),2005,44,44,1s,Marlins,LHP,FrRnd,Y,"$775,000 ",-0.1,22.0,8.0,8.0,5.03,1.58,0.0,HS,"Captain Shreve HS (Shreveport, LA)"
*Tyler Herron(minors),2005,46,46,1s,Cardinals,RHP,FrRnd,Y,"$675,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Wellington Community HS (Wellington, FL)"
*Michael Bowden(minors),2005,47,47,1s,Red Sox,RHP,FrRnd,Y,"$730,000 ",0.8,103.0,3.0,5.0,4.51,1.4,0.0,HS,"Waubonsie Valley HS (Aurora, IL)"
*Garrett Olson(minors),2005,48,48,1s,Orioles,LHP,FrRnd,Y,"$650,000 ",-2.7,104.0,14.0,22.0,6.26,1.67,1.0,4Yr,"California Polytechnic State University, San Luis Obispo (San Luis Obispo, CA)"
