Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2013,23,TBR,AL,5,8,0,0,0,0,0,0,0,0,1,0.1,0.507,0.5,0.1,0,1,,/H46,
,,,,,,,,,,,,,,,,,,,,,,,
2015,25,TBR,AL,82,223,-4,-1,1,-6,1,-9,-0.9,8,-1,-0.2,0.488,0.494,0.5,-0.4,5,"$508,100 ",46HD/5,
2016,26,TBR,AL,64,215,1,-1,0,-3,1,-2,-0.2,8,6,0.6,0.497,0.499,0.9,-0.1,9,"$514,500 ",64H/53D,
2017,27,TBR,AL,87,345,-2,-2,-1,-8,4,-9,-0.8,12,4,0.4,0.49,0.495,1.2,-0.3,12,"$885,000 ",64/5H,
2017,27,BAL,AL,50,230,9,2,1,-1,3,13,1.3,8,21,2.1,0.526,0.508,2.2,0.2,22,,6/D,
2018,28,BAL,AL,96,402,-9,1,0,-6,3,-11,-1,14,3,0.4,0.488,0.493,0.9,-0.2,9,"$3,350,000 ",65/D4,
2019,29,SEA,AL,88,328,0,0,0,-10,1,-9,-0.7,12,3,0.4,0.49,0.495,1.3,-0.8,13,"$1,750,000 ",675D/43H,
6 Seasons,,,,472,1751,-5,-1,0,-34,13,-26,-2.2,62,36,3.8,0.494,0.496,7,-1.7,70,"$7,007,600 ",,
162 Game Avg.,,,,162,601,-2,0,0,-12,4,-9,-0.8,21,12,1.3,0.494,0.496,2.4,-0.6,24,,,
,,,,,,,,,,,,,,,,,,,,,,,
TBR (4 yrs),,,,238,791,-5,-4,0,-17,7,-19,-1.8,28,9,0.9,0.492,0.496,2.6,-0.9,26,"$1,907,600 ",,
BAL (2 yrs),,,,146,632,0,2,1,-7,6,2,0.3,22,24,2.5,0.501,0.498,3.1,0,31,"$3,350,000 ",,
SEA (1 yr),,,,88,328,0,0,0,-10,1,-9,-0.7,12,3,0.4,0.49,0.495,1.3,-0.8,13,"$1,750,000 ",,